title,rating,number_of_reviews,bought_in_last_month,current/discounted_price,price_on_variant,listed_price,is_best_seller,is_sponsored,is_couponed,delivery_details,sustainability_badges,collected_at,coupon_amount,delivery_cost,est_delivery_date,is_free_delivery,has_fast_delivery,fastest_delivery_date,delivery_weekday,main_sustainability_badge,extra_badges_count
"BOYA BOYALINK 2 Wireless Lavalier Microphone for iPhone Camera Android, Mini Lapel Micophone Wireless, 48 KHz 24 Bit, 6mm Mic, 1000ft, 30h Use, Noise Cancelling, Clip on Mic USB-C/Lightning/3.5mm TRS",4.6,375,300,89.68,0.0,159.0,False,True,Save 15%  with coupon,"Delivery Mon, Sep 1",Carbon impact,2025-08-21 11:14:29,15%,0.0,2025-09-01,False,False,,Mon,Carbon impact,0
"LISEN USB C to Lightning Cable, 240W 4 in 1 Charging Cable 6.6FT, Chubby USB A/C to C/Lightning with Light for iPhone 16e 15 14 Pro/MacBook Air 17/iPad/Samsung/Switch 2, Multi Chargers for All Devices",4.3,2457,6000,9.99,0.0,15.99,False,True,No Coupon,"Delivery Fri, Aug 29",None,2025-08-21 11:14:29,0,0.0,2025-08-29,False,False,,Fri,None,0
"DJI Mic 2 (2 TX + 1 RX + Charging Case), Wireless Lavalier Microphone, Intelligent Noise Cancelling, 32-bit Float Internal Recording, 820 ft.(250m) Range, Microphone for iPhone, Android, Camera",4.6,3044,2000,314.0,0.0,349.0,False,True,No Coupon,"Delivery Mon, Sep 1",None,2025-08-21 11:14:29,0,0.0,2025-09-01,False,False,,Mon,None,0
"Apple AirPods Pro 2 Wireless Earbuds, Active Noise Cancellation, Hearing Aid Feature, Bluetooth Headphones, Transparency, Personalized Spatial Audio, High-Fidelity Sound, H2 Chip, USB-C Charging",4.6,35882,10000,,162.24,0.0,True,False,No Coupon,,None,2025-08-21 11:14:29,0,0.0,,False,False,,,None,0
"Apple AirTag 4 Pack. Keep Track of and find Your Keys, Wallet, Luggage, Backpack, and More. Simple one-tap Set up with iPhone or iPad",4.8,28988,10000,,72.74,0.0,False,False,No Coupon,,None,2025-08-21 11:14:29,0,0.0,,False,False,,,None,0
"Texas Instruments TI-84 Plus CE Color Graphing Calculator, Black",4.6,44522,100000,,99.95,0.0,True,False,No Coupon,,None,2025-08-21 11:14:29,0,0.0,,False,False,,,None,0
"Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, Personalized Spatial Audio, Sweat and Water Resistant, USB-C Charging Case, H2 Chip, Up to 30 Hours of Battery Life, Effortless Setup for iPhone",4.5,13466,10000,,88.11,0.0,False,False,No Coupon,,None,2025-08-21 11:14:29,0,0.0,,False,False,,,None,0
"Apple AirTag. Keep Track of and find Your Keys, Wallet, Luggage, Backpack, and More. Simple one-tap Set up with iPhone or iPad",4.6,38105,10000,,23.04,0.0,True,False,No Coupon,,None,2025-08-21 11:14:29,0,0.0,,False,False,,,None,0
Complete Protect: One plan covers all eligible past and future purchases on Amazon,4.0,4380,0,16.99,0.0,0.0,False,False,Save 50%  with coupon,,None,2025-08-21 11:14:29,50%,0.0,,False,False,,,None,0
"Apple iPad 11-inch: A16 chip, 11-inch Model, Liquid Retina Display, 128GB, Wi-Fi 6, 12MP Front/12MP Back Camera, Touch ID, All-Day Battery Life — Blue",4.7,7308,10000,,284.05,0.0,True,False,No Coupon,,Energy efficiency,2025-08-21 11:14:29,0,0.0,,False,False,,,Energy efficiency,0
